"","r1","r2","K1","K2","e11","e12","e21","e22","m1","m2","a11","a12","a21","a22","R1","R2","C1","C2","max.Re.eigen","max.Im.eigen","feasibility","steady.state","species","mut.suc","p.try","sim.number","sequence","Model","n","Competitor","Time","w11","w12","w21","w22","h11","h12","h21","h22"
"1",1,1,4,4,0.8,0.8,0.8,0.8,1,1,1.22,0.78,1,1,0.608571976424509,0.641579633544572,0.0180429488482871,0.82568036401597,-0.0114663558035368,0.915153866281344,1,1,NA,NA,NA,1,1,"MacArthur",1,"Yes","Begin",NA,NA,NA,NA,NA,NA,NA,NA
"2",1,1,4,4,0.8,0.8,0.8,0.8,1,1,1.09,0.91,0.99,1.01,0.643276194692944,0.606902045986375,0.0377808506026574,0.805919457639134,0.000326223134927745,0.915121718383926,1,1,1,1,1,1,335,"MacArthur",1,"Yes","End",NA,NA,NA,NA,NA,NA,NA,NA
"3",1,1,4,4,0.8,0.8,NA,NA,1,NA,1.22,0.78,NA,NA,0.0759848338634251,1.48373777249037,0.806499175391388,NA,-0.0619490372082704,0.78463297153198,1,1,NA,NA,NA,1,1,"MacArthur",1,"No","Begin",NA,NA,NA,NA,NA,NA,NA,NA
"4",1,1,4,4,0.8,0.8,NA,NA,1,NA,1,1,NA,NA,0.624219105562739,0.625746428240991,0.843687180154059,NA,-0.0781032857511125,0.915187393682729,1,1,1,0,1,1,552,"MacArthur",1,"No","End",NA,NA,NA,NA,NA,NA,NA,NA
"5",1,1,4,4,0.8,0.8,0.8,0.8,1,1,1.22,0.967049179900966,1.08924310879191,1.1,0.562347503393923,0.579705951169855,0.0474662774828353,0.735727357235042,-0.00773969186940821,0.92310182776097,1,1,NA,NA,NA,1,1,"MacArthur",1.15,"Yes","Begin",NA,NA,NA,NA,NA,NA,NA,NA
"6",1,1,4,4,0.8,0.8,0.8,0.8,1,1,1.21,0.977389212729297,1.08924310879191,1.1,0.581096074221732,0.560937948574212,0.011231188645071,0.771875147936305,3.97490277310995e-05,0.923071246627266,1,1,2,1,1,1,51,"MacArthur",1.15,"Yes","End",NA,NA,NA,NA,NA,NA,NA,NA
"7",1,1,4,4,0.8,0.8,NA,NA,1,NA,1.22,0.967049179900966,NA,NA,0.225445337189958,1.00782664953209,0.773509360145679,NA,-0.0999204765338815,0.879456605711539,1,1,NA,NA,NA,1,1,"MacArthur",1.15,"No","Begin",NA,NA,NA,NA,NA,NA,NA,NA
"8",1,1,4,4,0.8,0.8,NA,NA,1,NA,1.1,1.08924310879191,NA,NA,0.555182753262997,0.586903999340083,0.783103294361908,NA,-0.0714010827161227,0.923029422609935,1,1,1,0,1,1,9999,"MacArthur",1.15,"No","End",NA,NA,NA,NA,NA,NA,NA,NA
"9",1,1,4,4,0.8,0.8,0.8,0.8,1,1,1.22,0.568062446778985,0.879734638041884,0.89,0.683945915021717,0.728490119457596,0.030939097878872,0.899066779710085,-0.0259958380371024,0.90291660094227,1,1,NA,NA,NA,1,1,"MacArthur",0.85,"Yes","Begin",NA,NA,NA,NA,NA,NA,NA,NA
"10",1,1,4,4,0.8,0.8,0.8,0.8,1,1,1.98,0.00733561946725539,0.111043899734982,1.8,0.628671313105165,0.65571140406703,0.39976960090769,0.462726834882659,-0.080222620856736,0.912597117389784,1,1,1,NA,-1,1,844,"MacArthur",0.85,"Yes","End",NA,NA,NA,NA,NA,NA,NA,NA
"11",1,1,4,4,0.8,0.8,NA,NA,1,NA,1.22,0.568062446778985,NA,NA,0.0260953197220194,2.14424359586034,0.816573648683077,NA,-0.0384277589756602,0.631410695451839,1,1,NA,NA,NA,1,1,"MacArthur",0.85,"No","Begin",NA,NA,NA,NA,NA,NA,NA,NA
"12",1,1,4,4,0.8,0.8,NA,NA,1,NA,0.89,0.879734638041884,NA,NA,0.688002784044424,0.724788790388431,0.930555952291272,NA,-0.0883603352846629,0.903031547712331,1,1,1,0,1,1,9999,"MacArthur",0.85,"No","End",NA,NA,NA,NA,NA,NA,NA,NA
"13",1,1,4,4,0.8,0.8,0.8,0.8,1,1,1.22,0.78,1.11,0.89,1.09979126776628,1.42661577548529,0.402334922800226,0.969511187036655,-0.157470201720116,0.809233191385325,1,1,NA,NA,NA,1,1,"LawlorSmith",1,"Yes","Begin",0.6,0.4,0.4,0.6,NA,NA,NA,NA
"14",1,1,4,4,0.8,0.8,0.8,0.8,1,1,1.99,0.00999999999999934,0.61,1.39,1.04312781480845,1.19331137310211,0.447589118004414,0.839260007802904,-0.13913200665163,0.836739182364076,1,1,2,NA,-1,1,738,"LawlorSmith",1,"Yes","End",0.6,0.4,0.4,0.6,NA,NA,NA,NA
"15",1,1,4,4,0.8,0.8,NA,NA,1,NA,1.22,0.78,NA,NA,0.617133601012623,2.55790986516587,1.15548978442956,NA,-0.158146359790305,0.677187005937851,1,1,NA,NA,NA,1,1,"LawlorSmith",1,"No","Begin",0.6,0.4,0.4,0.6,NA,NA,NA,NA
"16",1,1,4,4,0.8,0.8,NA,NA,1,NA,0.89,1.11,NA,NA,1.05223693314497,1.54951342521906,1.37992834130283,NA,-0.161993045282179,0.798984030527352,1,1,1,0,1,1,567,"LawlorSmith",1,"No","End",0.6,0.4,0.4,0.6,NA,NA,NA,NA
"17",1,1,4,4,0.8,0.8,0.8,0.8,1,1,1.22,0.967049179900966,1.21714910313613,0.97,1.02632388399103,1.28868567498498,0.43199295324357,0.877484568529264,-0.144723223646716,0.828407935362353,1,1,NA,NA,NA,1,1,"LawlorSmith",1.15,"Yes","Begin",0.6,0.4,0.4,0.6,NA,NA,NA,NA
"18",1,1,4,4,0.8,0.8,0.8,0.8,1,1,1.9,0.166356907237147,0.122118171158278,1.93,1.03629146836626,1.03549562362485,0.624084761098955,0.604118896324112,-0.129487413436156,0.851038742590287,1,1,2,0,1,1,9999,"LawlorSmith",1.15,"Yes","End",0.6,0.4,0.4,0.6,NA,NA,NA,NA
"19",1,1,4,4,0.8,0.8,NA,NA,1,NA,1.22,0.967049179900966,NA,NA,0.55578325202407,2.18010911518934,1.1761496934529,NA,-0.16303610949211,0.720783018386178,1,1,NA,NA,NA,1,1,"LawlorSmith",1.15,"No","Begin",0.6,0.4,0.4,0.6,NA,NA,NA,NA
"20",1,1,4,4,0.8,0.8,NA,NA,1,NA,0.97,1.21714910313613,NA,NA,0.941350780191385,1.4419206480388,1.31361268101335,NA,-0.149220857048901,0.817371824266288,1,1,1,0,1,1,544,"LawlorSmith",1.15,"No","End",0.6,0.4,0.4,0.6,NA,NA,NA,NA
"21",1,1,4,4,0.8,0.8,0.8,0.8,1,1,1.22,0.568062446778985,0.970970411925518,0.8,1.20086406768402,1.6327955513201,0.402919532891446,1.04205563717431,-0.175309678782868,0.780048762756826,1,1,NA,NA,NA,1,1,"LawlorSmith",0.85,"Yes","Begin",0.6,0.4,0.4,0.6,NA,NA,NA,NA
"22",1,1,4,4,0.8,0.8,0.8,0.8,1,1,1.98,0.00733561946725539,0.315429407456576,1.52,1.04912975557269,1.22572195692095,0.540252376809789,0.758787265893348,-0.139553690242129,0.833887642714231,1,1,1,NA,-1,1,763,"LawlorSmith",0.85,"Yes","End",0.6,0.4,0.4,0.6,NA,NA,NA,NA
"23",1,1,4,4,0.8,0.8,NA,NA,1,NA,1.22,0.568062446778985,NA,NA,0.776563987702649,2.99948945268063,1.10066792997166,NA,-0.144032926190579,0.662238053591726,1,1,NA,NA,NA,1,1,"LawlorSmith",0.85,"No","Begin",0.6,0.4,0.4,0.6,NA,NA,NA,NA
"24",1,1,4,4,0.8,0.8,NA,NA,1,NA,0.8,0.970970411925518,NA,NA,1.20023345572598,1.73482225981097,1.45822137357368,NA,-0.181261497125957,0.768507989358396,1,1,1,0,1,1,589,"LawlorSmith",0.85,"No","End",0.6,0.4,0.4,0.6,NA,NA,NA,NA
"25",1,1,4,4,0.8,0.8,0.8,0.8,1,1,1.22,0.78,0.92,1.08,2.365071866901,2.5024070801733,0.766307534061742,0.756800996027397,-0.0353861166812567,0.392267940121102,1,1,NA,NA,NA,1,1,"McCann",1,"Yes","Begin",0.6,0.4,0.4,0.6,0.4,0.4,0.4,0.4
"26",1,1,4,4,0.8,0.8,0.8,0.8,1,1,1.99,0.00999999999999934,0.19,1.81,2.10215228858529,2.14104089432947,0.747020827932703,0.84678446520941,-0.148086673248481,0.537058845662872,1,1,1,NA,-1,1,775,"McCann",1,"Yes","End",0.6,0.4,0.4,0.6,0.4,0.4,0.4,0.4
"27",1,1,4,4,0.8,0.8,NA,NA,1,NA,1.22,0.78,NA,NA,2.19090874244065,2.95869154726851,1.40869675602669,NA,-0.225494454007467,0.369848251163881,1,1,NA,NA,NA,1,1,"McCann",1,"No","Begin",0.6,0.4,0.4,0.6,0.4,0.4,0.4,0.4
"28",1,1,4,4,0.8,0.8,NA,NA,1,NA,1.08,0.92,NA,NA,2.2653488243296,2.78772787404128,1.4620503979851,NA,-0.219692928544517,0.371012651102257,1,1,1,0,1,1,524,"McCann",1,"No","End",0.6,0.4,0.4,0.6,0.4,0.4,0.4,0.4
"29",1,1,4,4,0.8,0.8,0.8,0.8,1,1,1.22,0.967049179900966,1.04896305053904,1.14,2.21020086555252,2.29404204683635,0.802196661362681,0.771633603039179,-0.0223860710726607,0.434689068786844,1,1,NA,NA,NA,1,1,"McCann",1.15,"Yes","Begin",0.6,0.4,0.4,0.6,0.4,0.4,0.4,0.4
"30",1,1,4,4,0.8,0.8,0.8,0.8,1,1,1.93,0.122118171158278,0.122118171158278,1.93,2.07139388212225,2.0716184781381,0.799129786462736,0.798824503885803,-0.138408221257026,0.536389816142325,1,1,2,0,1,1,9999,"McCann",1.15,"Yes","End",0.6,0.4,0.4,0.6,0.4,0.4,0.4,0.4
"31",1,1,4,4,0.8,0.8,NA,NA,1,NA,1.22,0.967049179900966,NA,NA,2.01636066601597,2.63180981985645,1.52033625303215,NA,-0.182471398328109,0.421432381731437,1,1,NA,NA,NA,1,1,"McCann",1.15,"No","Begin",0.6,0.4,0.4,0.6,0.4,0.4,0.4,0.4
"32",1,1,4,4,0.8,0.8,NA,NA,1,NA,1.14,1.04896305053904,NA,NA,2.07050683754918,2.54509535578534,1.53982038954782,NA,-0.18016284831575,0.422394116650558,1,1,1,0,1,1,518,"McCann",1.15,"No","End",0.6,0.4,0.4,0.6,0.4,0.4,0.4,0.4
"33",1,1,4,4,0.8,0.8,0.8,0.8,1,1,1.22,0.568062446778985,0.696016171039575,1.08,2.5957373355191,2.72467347792352,0.709155242456701,0.714639270188669,-0.0664428215409735,0.32634884658492,1,1,NA,NA,NA,1,1,"McCann",0.85,"Yes","Begin",0.6,0.4,0.4,0.6,0.4,0.4,0.4,0.4
"34",1,1,4,4,0.8,0.8,0.8,0.8,1,1,1.98,0.00733561946725539,0.0267628958173231,1.94,2.10614689352224,2.12263401158153,0.792456126157267,0.80194533136029,-0.146391896597597,0.594374951131063,1,1,2,NA,-1,1,802,"McCann",0.85,"Yes","End",0.6,0.4,0.4,0.6,0.4,0.4,0.4,0.4
"35",1,1,4,4,0.8,0.8,NA,NA,1,NA,1.22,0.568062446778985,NA,NA,2.48542022776159,3.36370905991503,1.18070959476084,NA,-0.281795544278974,0.286951201214449,1,1,NA,NA,NA,1,1,"McCann",0.85,"No","Begin",0.6,0.4,0.4,0.6,0.4,0.4,0.4,0.4
"36",1,1,4,4,0.8,0.8,NA,NA,1,NA,1.08,0.696016171039575,NA,NA,2.52807220058287,3.1996146456638,1.25660410699385,NA,-0.277458017307119,0.27750304407863,1,1,1,0,1,1,9999,"McCann",0.85,"No","End",0.6,0.4,0.4,0.6,0.4,0.4,0.4,0.4
