"","r1","r2","K1","K2","e11","e12","h11","h12","a11","a12","m1","w11","R1","R2","C1","C1.max.eigen","feas.3sp","steady.3sp","species","mut.suc","p.try","sim.number","sequence"
"1",1,1,3.25,3.25,0.8,0.8,0.4,0.4,2,2,1,0.8,2,2,1,-0.108146648133092,1,1,NA,NA,NA,1,1
"2",1,1,3.25,3.25,0.8,0.8,0.4,0.4,2.01,1.99,1,0.8,0.869018770398219,1.93665989311602,1.13522832607995,-0.0704101402116224,1,1,1,1,1,1,2
"3",1,1,3.25,3.25,0.8,0.8,0.4,0.4,2.01,1.99,1,0.8,0.869018770398219,1.93665989311602,1.13522832607995,-0.0704101402116224,1,1,1,0,1,1,3
"4",1,1,3.25,3.25,0.8,0.8,0.4,0.4,2,2,1,0.8,0.872419080843485,1.93300677487781,1.13704110470077,-0.0702034094500523,1,1,1,1,1,1,4
"5",1,1,3.25,3.25,0.8,0.8,0.4,0.4,2,2,1,0.8,0.872419080843485,1.93300677487781,1.13704110470077,-0.0702034094500523,1,1,1,0,1,1,5
"6",1,1,3.25,3.25,0.8,0.8,0.4,0.4,1.99,2.01,1,0.8,0.874936276171205,1.92825748819844,1.13912306039221,-0.0700447154442875,1,1,1,1,1,1,6
"7",1,1,3.25,3.25,0.8,0.8,0.4,0.4,1.98,2.02,1,0.8,0.879083609142271,1.92549311488663,1.14061325670678,-0.0698195959365383,1,1,1,1,1,1,7
"8",1,1,3.25,3.25,0.8,0.8,0.4,0.4,1.97,2.03,1,0.8,0.882520847441784,1.9218438935724,1.14241780887545,-0.0696501947232948,1,1,1,1,1,1,8
"9",1,1,3.25,3.25,0.8,0.8,0.4,0.4,1.96,2.04,1,0.8,0.886003232690385,1.9182351901654,1.14419735622562,-0.0694902690107155,1,1,1,1,1,1,9
"10",1,1,3.25,3.25,0.8,0.8,0.4,0.4,1.96,2.04,1,0.8,0.886003232690385,1.9182351901654,1.14419735622562,-0.0694902690107155,1,1,1,0,1,1,10
"11",1,1,3.25,3.25,0.8,0.8,0.4,0.4,1.96,2.04,1,0.8,0.886003232690385,1.9182351901654,1.14419735622562,-0.0694902690107155,1,1,1,0,1,1,11
"12",1,1,3.25,3.25,0.8,0.8,0.4,0.4,1.96,2.04,1,0.8,0.886003232690385,1.9182351901654,1.14419735622562,-0.0694902690107155,1,1,1,0,1,1,12
"13",1,1,3.25,3.25,0.8,0.8,0.4,0.4,1.96,2.04,1,0.8,0.886003232690385,1.9182351901654,1.14419735622562,-0.0694902690107155,1,1,1,0,1,1,13
"14",1,1,3.25,3.25,0.8,0.8,0.4,0.4,1.96,2.04,1,0.8,0.886003232690385,1.9182351901654,1.14419735622562,-0.0694902690107155,1,1,1,0,1,1,14
"15",1,1,3.25,3.25,0.8,0.8,0.4,0.4,1.96,2.04,1,0.8,0.886003232690385,1.9182351901654,1.14419735622562,-0.0694902690107155,1,1,1,0,1,1,15
"16",1,1,3.25,3.25,0.8,0.8,0.4,0.4,1.95,2.05,1,0.8,0.889554007874518,1.91469475013917,1.14596427130225,-0.0693420021141732,1,1,1,1,1,1,16
"17",1,1,3.25,3.25,0.8,0.8,0.4,0.4,1.96,2.04,1,0.8,0.885867758016401,1.91806994466179,1.14423094326704,-0.0694942238659268,1,1,1,1,1,1,17
"18",1,1,3.25,3.25,0.8,0.8,0.4,0.4,1.95,2.05,1,0.8,0.889552412973768,1.91469281203549,1.14594389707263,-0.0693390287844031,1,1,1,1,1,1,18
"19",1,1,3.25,3.25,0.8,0.8,0.4,0.4,1.96,2.04,1,0.8,0.88586405702114,1.91806543011198,1.14423167314654,-0.0694942993557233,1,1,1,1,1,1,19
"20",1,1,3.25,3.25,0.8,0.8,0.4,0.4,1.95,2.05,1,0.8,0.889552412056579,1.91469281090128,1.14594241885711,-0.0693388036605592,1,1,1,1,1,1,20
"21",1,1,3.25,3.25,0.8,0.8,0.4,0.4,1.96,2.04,1,0.8,0.885863806998232,1.91806512512819,1.14423168532178,-0.0694943131064374,1,1,1,1,1,1,21
"22",1,1,3.25,3.25,0.8,0.8,0.4,0.4,1.96,2.04,1,0.8,0.885863806998232,1.91806512512819,1.14423168532178,-0.0694943131064374,1,1,1,0,1,1,22
"23",1,1,3.25,3.25,0.8,0.8,0.4,0.4,1.95,2.05,1,0.8,0.889552424760111,1.91469282636824,1.1459423101605,-0.0693387938794252,1,1,1,1,1,1,23
"24",1,1,3.25,3.25,0.8,0.8,0.4,0.4,1.94,2.06,1,0.8,0.893175970269934,1.91122526859143,1.14776091234483,-0.0692116444625558,1,1,1,1,1,1,24
"25",1,1,3.25,3.25,0.8,0.8,0.4,0.4,1.93,2.07,1,0.8,0.896829690070132,1.90777815734906,1.14955204613562,-0.0690938397171568,1,1,1,1,1,1,25
"26",1,1,3.25,3.25,0.8,0.8,0.4,0.4,1.94,2.06,1,0.8,0.893025992126191,1.91104295327528,1.14778054278408,-0.0692132282078905,1,1,1,1,1,1,26
"27",1,1,3.25,3.25,0.8,0.8,0.4,0.4,1.93,2.07,1,0.8,0.895962719071219,1.90672576912292,1.14980327476209,-0.069122357210508,1,1,1,1,1,1,27
"28",1,1,3.25,3.25,0.8,0.8,0.4,0.4,1.93,2.07,1,0.8,0.895962719071219,1.90672576912292,1.14980327476209,-0.069122357210508,1,1,1,0,1,1,28
"29",1,1,3.25,3.25,0.8,0.8,0.4,0.4,1.93,2.07,1,0.8,0.895962719071219,1.90672576912292,1.14980327476209,-0.069122357210508,1,1,1,0,1,1,29
"30",1,1,3.25,3.25,0.8,0.8,0.4,0.4,1.92,2.08,1,0.8,0.89964906088343,1.90330347384538,1.15157029242362,-0.0690138252738053,1,1,1,1,1,1,30
"31",1,1,3.25,3.25,0.8,0.8,0.4,0.4,1.92,2.08,1,0.8,0.89964906088343,1.90330347384538,1.15157029242362,-0.0690138252738053,1,1,1,0,1,1,31
"32",1,1,3.25,3.25,0.8,0.8,0.4,0.4,1.92,2.08,1,0.8,0.89964906088343,1.90330347384538,1.15157029242362,-0.0690138252738053,1,1,1,0,1,1,32
"33",1,1,3.25,3.25,0.8,0.8,0.4,0.4,1.92,2.08,1,0.8,0.89964906088343,1.90330347384538,1.15157029242362,-0.0690138252738053,1,1,1,0,1,1,33
"34",1,1,3.25,3.25,0.8,0.8,0.4,0.4,1.92,2.08,1,0.8,0.89964906088343,1.90330347384538,1.15157029242362,-0.0690138252738053,1,1,1,0,1,1,34
"35",1,1,3.25,3.25,0.8,0.8,0.4,0.4,1.92,2.08,1,0.8,0.89964906088343,1.90330347384538,1.15157029242362,-0.0690138252738053,1,1,1,0,1,1,35
"36",1,1,3.25,3.25,0.8,0.8,0.4,0.4,1.92,2.08,1,0.8,0.89964906088343,1.90330347384538,1.15157029242362,-0.0690138252738053,1,1,1,0,1,1,36
"37",1,1,3.25,3.25,0.8,0.8,0.4,0.4,1.92,2.08,1,0.8,0.89964906088343,1.90330347384538,1.15157029242362,-0.0690138252738053,1,1,1,0,1,1,37
"38",1,1,3.25,3.25,0.8,0.8,0.4,0.4,1.92,2.08,1,0.8,0.89964906088343,1.90330347384538,1.15157029242362,-0.0690138252738053,1,1,1,0,1,1,38
"39",1,1,3.25,3.25,0.8,0.8,0.4,0.4,1.92,2.08,1,0.8,0.89964906088343,1.90330347384538,1.15157029242362,-0.0690138252738053,1,1,1,0,1,1,39
"40",1,1,3.25,3.25,0.8,0.8,0.4,0.4,1.92,2.08,1,0.8,0.89964906088343,1.90330347384538,1.15157029242362,-0.0690138252738053,1,1,1,0,1,1,40
"41",1,1,3.25,3.25,0.8,0.8,0.4,0.4,1.92,2.08,1,0.8,0.89964906088343,1.90330347384538,1.15157029242362,-0.0690138252738053,1,1,1,0,1,1,41
"42",1,1,3.25,3.25,0.8,0.8,0.4,0.4,1.92,2.08,1,0.8,0.89964906088343,1.90330347384538,1.15157029242362,-0.0690138252738053,1,1,1,0,1,1,42
"43",1,1,3.25,3.25,0.8,0.8,0.4,0.4,1.92,2.08,1,0.8,0.89964906088343,1.90330347384538,1.15157029242362,-0.0690138252738053,1,1,1,0,1,1,43
"44",1,1,3.25,3.25,0.8,0.8,0.4,0.4,1.92,2.08,1,0.8,0.89964906088343,1.90330347384538,1.15157029242362,-0.0690138252738053,1,1,1,0,1,1,44
"45",1,1,3.25,3.25,0.8,0.8,0.4,0.4,1.92,2.08,1,0.8,0.89964906088343,1.90330347384538,1.15157029242362,-0.0690138252738053,1,1,1,0,1,1,45
"46",1,1,3.25,3.25,0.8,0.8,0.4,0.4,1.92,2.08,1,0.8,0.89964906088343,1.90330347384538,1.15157029242362,-0.0690138252738053,1,1,1,0,1,1,46
"47",1,1,3.25,3.25,0.8,0.8,0.4,0.4,1.92,2.08,1,0.8,0.89964906088343,1.90330347384538,1.15157029242362,-0.0690138252738053,1,1,1,0,1,1,47
"48",1,1,3.25,3.25,0.8,0.8,0.4,0.4,1.92,2.08,1,0.8,0.89964906088343,1.90330347384538,1.15157029242362,-0.0690138252738053,1,1,1,0,1,1,48
