"","R1_0","R2_0","C1_0","C2_0","r1","r2","K1","K2","e11","e12","e21","e22","h11","h12","h21","h22","a11","a12","a21","a22","m1","m2","w11","w22","R1","R2","C1","C2","steady"
"1",1.44335,1.10585,1.58525,1.82615,1.85135,1.84835,3.2129,4.8275,0.71708,0.64868,0.73452,0.68988,0.17065,0.12245,0.44095,0.15665,0.49819,2.70403,3.30073,0.58789,0.90361,0.55927,0.29921,0.77945,0.890562321620321,0.827803939129557,0.514911434903545,2.24645527902043,1
"2",1.53515,1.94735,1.20515,0.95165,0.51455,1.13615,4.8575,3.1133,0.86556,0.51772,0.88972,0.78652,0.22585,0.50035,0.15985,0.22995,1.75477,3.98323,3.59947,2.84833,0.64495,0.78661,0.37157,0.28409,0.100103684768477,0.584040134688031,5.81764093388194e-11,0.59567496693219,1
"3",1.55825,0.79385,1.27115,1.54595,1.03595,0.87275,3.3767,4.7789,0.78756,0.63796,0.87564,0.83388,0.34025,0.32305,0.48285,0.49165,1.89361,2.81713,1.65493,0.34141,0.71947,0.89893,0.86765,0.92633,0.0356708005388029,0.125133036016811,0.355598522197497,2.65565153823198e-251,0
"4",1.83065,0.55925,0.60605,0.68465,1.21025,1.51145,4.5173,3.2459,0.76556,0.5778,0.6182,0.82692,0.19685,0.52425,0.20195,0.41865,1.75789,1.44043,1.10659,0.51925,0.83251,0.37279,0.36383,0.78935,1.08291240429622,0.77126651373862,3.87206139914697e-07,3.62449022907406,1
"5",0.67385,0.59735,0.73055,1.59845,0.60215,1.63385,4.8581,2.6999,0.84436,0.70116,0.81788,0.74084,0.36965,0.36285,0.15525,0.25995,0.21505,0.22831,1.39207,1.68769,0.67231,0.21313,0.12659,0.12695,0.0191002571311256,0.266211125298039,1.19965758398254e-25,1.40610400780595,1
"6",1.53065,1.39715,0.93575,0.95855,0.76325,1.13855,4.9367,3.8573,0.50844,0.76596,0.59892,0.70964,0.56715,0.27135,0.40295,0.37455,0.49897,3.63769,3.06595,0.78835,0.13663,0.48043,0.64103,0.34385,0.403336008881486,0.155023619567857,1.88562266809538,9.52944184575475e-31,0
"7",1.78835,1.32575,0.53165,0.85475,1.66385,1.12085,3.1193,4.8995,0.60588,0.6586,0.62068,0.8578,0.17725,0.54105,0.45595,0.46875,2.25709,0.46777,3.54019,3.20245,0.79723,0.37243,0.70817,0.28121,NA,NA,NA,NA,0
"8",1.65725,1.14485,0.52685,1.39565,1.21565,1.62275,3.2669,4.7123,0.81444,0.82108,0.73084,0.68292,0.39615,0.38675,0.46565,0.53715,2.54179,0.43267,1.60735,2.87329,0.89929,0.17137,0.22631,0.12713,-0.0363452090006,-0.836056517872395,2.20506269293694e-20,-0.175582012206777,0
"9",1.78145,0.54605,0.72605,0.57485,1.92365,1.13525,3.2837,4.8389,0.52988,0.76868,0.87164,0.84676,0.37235,0.19765,0.30685,0.54405,1.20409,0.81019,2.59873,2.82415,0.79489,0.99343,0.61709,0.81671,1.11450713650765,0.197249164580142,3.01331032373809e-26,1.42602796332828,1
"10",1.03955,1.92815,1.66925,1.66715,1.87985,1.09715,4.7297,4.1693,0.79836,0.57516,0.86636,0.839,0.34555,0.16615,0.26135,0.49125,3.07141,1.45915,0.62845,2.05429,0.89893,0.27199,0.56507,0.85217,0.428837533697018,0.0242611588670072,0.262064222196782,1.82861428449234,0
"11",1.73585,1.34915,0.50495,0.86345,0.80525,1.63205,2.6927,2.6255,0.69116,0.6186,0.62812,0.88532,0.24215,0.19475,0.12515,0.43185,3.77341,3.68371,3.37795,2.55583,0.44929,0.70453,0.22937,0.84155,0.235392636727157,0.434472465532025,0.218052690555435,3.78255236899125e-138,0
"12",0.52775,1.53785,1.32185,1.66175,1.41665,1.61645,3.1127,2.3309,0.88268,0.78356,0.54812,0.62092,0.17595,0.33765,0.17735,0.15825,2.92009,3.47467,1.08475,2.08861,0.49087,0.31303,0.70673,0.21659,0.0578378179348178,0.172220737882271,0.139981245341809,2.01232761222808e-36,0
"13",1.41245,0.92345,1.66265,1.67105,0.72485,0.75245,2.4569,4.2323,0.53852,0.83804,0.83156,0.8042,0.35475,0.48285,0.12705,0.53905,0.16747,0.20179,2.05273,2.32183,0.68887,0.57259,0.77909,0.19715,1.3261750207468,3.05773113780488,4.57477760706325e-260,1.2992315461548,0
