"","R1_0","R2_0","C1_0","r1","r2","K1","K2","e11","e12","h11","h12","a11","a12","m1","w11","R1","R2","C1","steady"
"1",1.9325,1.8875,1.1105,0.8465,1.8035,4.037,4.409,0.5628,0.8348,0.2815,0.1035,3.0991,0.2131,0.2269,0.2057,0,0,4.43036417778933,1
"2",0.7745,1.8785,1.7705,1.2725,1.3535,2.087,4.253,0.882,0.7932,0.3185,0.1675,2.3659,1.2037,0.1639,0.3425,0,0,3.39414151413914,1
"3",1.2815,0.6605,1.2335,1.8455,1.7975,4.703,2.075,0.6676,0.526,0.3095,0.1415,1.3909,2.7325,0.3403,0.1841,0.435126617413321,0,1.42962005481282,1
"4",1.8575,0.9395,1.4105,1.0865,0.9155,2.699,3.623,0.578,0.8564,0.1025,0.4475,3.0601,3.4813,0.4735,0.8627,0,0,1.44391917857468,1
"5",0.6395,1.2605,1.7495,0.5885,1.8425,3.395,4.841,0.7116,0.5092,0.2505,0.4635,0.7591,1.3129,0.1891,0.7223,2.99559407686251e-22,0.341671374752705,1.57552606308227,1
"6",0.9455,0.6695,0.7025,1.8095,1.7765,2.507,3.983,0.55,0.6676,0.4675,0.2545,0.2287,0.3925,0.3637,0.8375,0,0,0,1
"7",1.9535,1.0985,0.5045,1.1645,1.1345,2.945,2.723,0.8444,0.6884,0.1535,0.1995,1.4533,3.3487,0.1513,0.6791,2.94500000002977,2.7230011224639,0,1
"8",1.5335,0.9125,1.7315,1.1825,0.7535,2.621,4.223,0.586,0.706,0.3805,0.4315,2.1943,2.7169,0.8101,0.3227,1.50974155572098,0.723532144140791,0.941254175664915,1
"9",1.9775,1.9595,1.2725,0.6935,1.6775,3.095,4.541,0.6236,0.8116,0.4635,0.4605,2.2177,3.8557,0.2611,0.3047,0,0,2.34518714786042,1
"10",0.5195,1.8995,1.8635,0.9545,1.3595,3.827,2.105,0.5228,0.6172,0.5825,0.1265,2.5999,1.8121,0.8263,0.1805,0,0.889436820423309,0.521564371884482,1
"11",0.6755,1.3895,1.6595,0.7745,1.1045,2.807,2.045,0.5916,0.638,0.3755,0.3865,1.0087,0.3145,0.1603,0.8123,1.25265309563653e-22,0.884824577912496,2.20668530417188,1
"12",1.9685,1.1165,1.0775,1.1375,1.4135,3.761,2.345,0.5348,0.5692,0.1385,0.4335,3.0523,0.4393,0.2917,0.9113,0,0,1.82434133203503,1
"13",0.8045,0.7625,1.5545,1.0595,1.8065,3.899,2.285,0.7988,0.798,0.4895,0.3685,1.7107,1.2895,0.8641,0.3911,1.42204865207968,1.34206970597255,1.80876084590358,1
"14",1.5365,1.4405,1.5455,1.5905,1.1645,2.333,4.937,0.7332,0.7876,0.1845,0.5975,1.5703,1.0009,0.6283,0.5837,0.755923566377468,1.31962670638187,2.35985961441377,1
"15",0.6905,1.5395,1.8995,1.9715,1.2665,2.111,2.825,0.8996,0.686,0.5405,0.3065,3.1849,2.9431,0.5473,0.8213,0,0,0,1
"16",1.1615,0.8255,1.0985,1.7615,1.4675,4.385,3.413,0.8508,0.7132,0.4095,0.4785,0.1741,0.7591,0.1027,0.7079,0,0,2.43030354531584,1
"17",1.9985,1.0115,0.9965,1.9385,1.7315,2.867,4.235,0.626,0.6364,0.4205,0.4085,3.4579,3.4501,0.4843,0.0725,2.86700002926157,0,0,1
"18",0.9215,0.9185,0.9875,0.5135,1.2785,3.191,2.639,0.7236,0.7828,0.4515,0.2375,0.1507,0.8839,0.7885,0.3767,0,1.49793858611082,0.822078876593797,1
"19",1.5845,1.8635,0.9035,1.6745,1.0745,4.571,2.645,0.6844,0.5052,0.4155,0.4545,3.3019,0.7279,0.2035,0.6521,0,0,2.32279973973501,1
"20",1.9205,0.6545,0.9155,1.0655,1.3025,4.559,2.873,0.5172,0.7668,0.4665,0.3245,3.9649,2.0149,0.3907,0.8069,0,0,0.775730029894734,1
"21",1.5275,1.2695,0.8375,0.8285,1.1495,2.195,3.977,0.6716,0.6244,0.1915,0.4275,0.4861,2.6233,0.8371,0.2705,2.00990087370581,1.44601934576475,0.90170533054061,1
"22",1.1585,1.4765,0.5765,0.6755,1.1765,2.561,3.311,0.5948,0.8364,0.4765,0.3965,1.6405,0.9697,0.4411,0.8753,0,3.3110000028616,2.08541568654697e-12,1
"23",1.2695,1.8155,1.9805,1.3445,1.0775,4.229,4.775,0.5532,0.7212,0.5895,0.2275,1.5781,1.5001,0.1387,0.1625,0,0,2.23772470529569,1
"24",0.6335,1.3835,0.6365,1.5125,1.8635,3.713,4.859,0.5708,0.6716,0.2025,0.1965,3.7621,1.1257,0.9451,0.7637,0,0,0,1
"25",0.6155,1.4435,0.7115,1.8305,1.8545,2.057,4.835,0.6932,0.7724,0.1355,0.5605,1.1725,1.8667,0.7795,0.7151,0,0,3.4189348182982,1
"26",0.7505,0.8405,1.7945,0.7355,1.3265,4.607,3.083,0.7212,0.602,0.4415,0.5765,2.0851,3.0367,0.5923,0.2795,0.920978496495376,0.468877740577093,1.19592303378616,1
"27",1.8935,1.9445,0.6185,0.5855,1.8725,3.305,4.793,0.8596,0.7396,0.5845,0.2235,3.5437,2.8885,0.6139,0.2183,0,0,1.20792235997478,1
"28",0.9545,1.1495,1.0235,1.4855,0.9425,2.303,2.705,0.5036,0.7348,0.3345,0.2595,3.1459,0.4549,0.7975,0.4829,1.56397238873768,2.38231174129088,0.717579783978852,1
"29",0.8465,1.9895,0.8405,1.9805,1.6415,3.767,2.333,0.7484,0.5604,0.2935,0.3645,0.8995,2.9275,0.9829,0.6503,0,1.66102115418951,0.447760556341617,1
"30",1.6655,1.6085,0.9305,1.8755,1.7075,4.775,3.593,0.6468,0.8012,0.5325,0.2895,0.7513,1.6327,0.4681,0.2381,0,0,1.79920193264078,1
"31",1.4255,0.9545,1.7825,0.8975,1.7195,4.001,2.369,0.5324,0.6188,0.2685,0.1085,1.2583,1.1569,0.5221,0.7511,0,2.36900000001057,0,1
"32",0.8855,0.8495,0.9575,1.8605,0.7655,4.553,4.673,0.758,0.7796,0.4945,0.1365,1.0243,0.3847,0.3727,0.3479,0,4.67300000044171,0,1
"33",0.6935,0.9455,0.9815,0.9605,0.5045,3.635,4.631,0.5988,0.562,0.3225,0.5175,3.3175,1.0477,0.8407,0.1031,0,0,0,1
"34",1.9415,0.6815,1.0175,0.9065,1.8965,3.401,3.233,0.862,0.8444,0.1775,0.4365,1.7887,2.0851,0.2773,0.4667,0,0,0.180268674172454,1
"35",1.0925,1.2155,1.0565,1.7495,1.2935,3.773,3.173,0.686,0.5204,0.3115,0.2425,1.4689,3.1225,0.4933,0.7061,0,0,0,1
"36",1.2965,1.9025,0.9395,0.5465,0.8885,3.491,2.531,0.826,0.6052,0.4805,0.2035,1.4767,1.2583,0.3349,0.4739,0,0,5.26266679315202,1
"37",0.6065,1.2515,1.1435,0.5405,1.8455,2.375,4.373,0.8556,0.5756,0.1985,0.1465,3.0211,3.0133,0.1657,0.7475,0,0,1.25985956985403,1
"38",0.9995,0.8375,1.8185,1.6115,0.8855,2.669,3.077,0.5844,0.866,0.2595,0.1815,0.2599,0.1507,0.9289,0.5207,2.66900016536066,0,0,1
