"","R1_0","R2_0","C1_0","C2_0","r1","r2","K1","K2","e11","e12","e21","e22","h11","h12","h21","h22","a11","a12","a21","a22","m1","m2","w11","w22","R1","R2","C1","C2","steady"
"1",1.09025,0.68225,1.85975,1.70675,1.63025,1.12025,2.7185,4.5215,0.6346,0.5594,0.7514,0.623,0.55675,0.26225,0.44025,0.47675,3.38185,3.10495,0.67525,3.29215,0.48745,0.91495,0.31235,0.92975,1.89659591436773,1.57788358043795,2.25067020835215,4.43129282595204e-240,0
"2",1.31675,1.57925,1.99025,0.65225,1.22975,0.54875,4.8035,2.0975,0.6246,0.5418,0.6758,0.5682,0.57375,0.41725,0.34625,0.32225,2.25865,3.53005,1.17835,2.89435,0.83395,0.46225,0.18005,0.27995,1.41332584459537,0.441141130383301,3.70131671139762e-161,0.99900865455722,0
"3",1.65575,0.94025,0.55925,1.45325,0.79775,0.97925,3.0245,2.4425,0.8342,0.5782,0.5074,0.8374,0.42925,0.10775,0.46875,0.52375,0.69475,2.20015,3.55735,1.82185,0.50905,0.39115,0.32945,0.36365,0.518382350503523,1.07252137176375,0.18692004319244,1.08938491957607,0
"4",1.32425,0.63275,0.62225,1.43375,1.65425,1.92425,3.1865,4.8545,0.6274,0.5914,0.627,0.6074,0.30075,0.29975,0.24275,0.28325,3.96295,0.71035,3.64315,3.32335,0.13555,0.36595,0.92615,0.24305,-0.0230767195096344,-4.96277479649038,-0.0120286467534235,-0.0234146152948784,0
"5",1.16525,1.01375,1.46825,1.19825,0.71675,0.53975,4.9175,3.7685,0.5694,0.7658,0.5826,0.7902,0.18425,0.23225,0.16875,0.51375,3.65485,2.93725,0.54655,2.18065,0.16705,0.53065,0.72005,0.10175,5.90421544162159e-06,1.42745888565543e-05,0.316294349535304,4.00560162292336e-212,0
"6",1.91375,0.88625,1.51325,1.69625,0.52175,0.78425,4.6955,2.4845,0.5498,0.505,0.801,0.7878,0.46225,0.41175,0.47375,0.10475,0.27355,1.93105,2.94505,2.25865,0.22555,0.51805,0.51125,0.38165,0.189768180191874,0.407563816313296,0.148864345742202,0.452331967334722,0
"7",1.63025,0.88025,1.18025,0.60875,1.65875,1.94825,4.0145,2.7245,0.6838,0.7058,0.529,0.7574,0.52275,0.33675,0.39425,0.57025,1.32265,0.48025,3.93565,0.99505,0.57925,0.33895,0.90635,0.92255,2.04633941275032,1.23299633972887,1.70080410478273e-80,0.996164800234762,0
"8",0.89975,0.88475,0.73325,0.79775,1.20575,1.24475,3.3485,3.1775,0.5514,0.6734,0.793,0.7198,0.46025,0.25075,0.33425,0.44325,1.64635,1.52935,1.34605,2.28595,0.14455,0.43975,0.19805,0.80825,0.00390790812587321,0.00105419595430852,3.42309668461607,3.17016876422842e-111,0
"9",1.05425,1.39625,0.91025,1.89575,0.86675,1.67525,3.4985,3.6455,0.8054,0.711,0.7302,0.8742,0.35575,0.41675,0.24725,0.21875,2.12605,3.73675,0.19945,0.14095,0.81865,0.25615,0.77315,0.17645,0.938977106837953,2.104866625585,1.73376185544503,3.08498813179707e-70,0
"10",0.62825,1.44275,1.56125,1.41275,1.40075,1.63625,3.5795,3.2105,0.871,0.7558,0.751,0.6678,0.58025,0.30375,0.30875,0.53525,0.71425,3.24925,1.86475,3.70555,0.92845,0.57385,0.34295,0.60395,3.00757164924586,2.56546620073628,2.71020922102128e-127,0.433227685302077,0
