"","r1","r2","K1","K2","e11","e12","e21","e22","m1","m2","a11","a12","a21","a22","R1","R2","C1","C2","max.Re.eigen","max.Im.eigen","feasibility","steady.state","species","mut.suc","p.try","sim.number","sequence","Model","n","Competitor","Time","w11","w12","w21","w22","h11","h12","h21","h22"
"1",1,1,4,4,0.8,0.8,0.8,0.8,1,1,1.22,0.78,0.78,1.22,0.625204585850434,0.625204585850368,0.421856870881077,0.421856870881072,-0.0779943488781039,0.915344549269562,1,1,NA,NA,NA,1,1,"MacArthur",1,"Yes","Begin",NA,NA,NA,NA,NA,NA,NA,NA
"2",1,1,4,4,0.8,0.8,0.8,0.8,1,1,1.21,0.79,0.77,1.23,0.62498464659161,0.625008416290507,0.440411119777866,0.403358403281712,-0.0781363832473639,0.915237880720851,1,1,2,0,1,1,510,"MacArthur",1,"Yes","End",NA,NA,NA,NA,NA,NA,NA,NA
"3",1,1,4,4,0.8,0.8,NA,NA,1,NA,1.22,0.78,NA,NA,0.0759848338634251,1.48373777249037,0.806499175391388,NA,-0.0619490372082704,0.78463297153198,1,1,NA,NA,NA,1,1,"MacArthur",1,"No","Begin",NA,NA,NA,NA,NA,NA,NA,NA
"4",1,1,4,4,0.8,0.8,NA,NA,1,NA,1,1,NA,NA,0.624219105562739,0.625746428240991,0.843687180154059,NA,-0.0781032857511125,0.915187393682729,1,1,1,0,1,1,542,"MacArthur",1,"No","End",NA,NA,NA,NA,NA,NA,NA,NA
"5",1,1,4,4,0.8,0.8,0.8,0.8,1,1,1.22,0.967049179900966,0.967049179900966,1.22,0.571335117004452,0.57133511700445,0.391956940720769,0.391956940720782,-0.0716331358054274,0.922948419000783,1,1,NA,NA,NA,1,1,"MacArthur",1.15,"Yes","Begin",NA,NA,NA,NA,NA,NA,NA,NA
"6",1,1,4,4,0.8,0.8,0.8,0.8,1,1,1.22,0.967049179900966,0.967049179900966,1.22,0.571335117004452,0.57133511700445,0.391956940720769,0.391956940720782,-0.0716331358054274,0.922948419000783,1,1,2,0,1,1,500,"MacArthur",1.15,"Yes","End",NA,NA,NA,NA,NA,NA,NA,NA
"7",1,1,4,4,0.8,0.8,NA,NA,1,NA,1.22,0.967049179900966,NA,NA,0.225445337189958,1.00782664953209,0.773509360145679,NA,-0.0999204765338815,0.879456605711539,1,1,NA,NA,NA,1,1,"MacArthur",1.15,"No","Begin",NA,NA,NA,NA,NA,NA,NA,NA
"8",1,1,4,4,0.8,0.8,NA,NA,1,NA,1.1,1.08924310879191,NA,NA,0.555132653699348,0.586974485005577,0.783099139094945,NA,-0.071393139764489,0.923033915272603,1,1,1,1,1,1,9999,"MacArthur",1.15,"No","End",NA,NA,NA,NA,NA,NA,NA,NA
"9",1,1,4,4,0.8,0.8,0.8,0.8,1,1,1.22,0.568062446778985,0.568062446778985,1.22,0.699304618321802,0.69930461832178,0.461507583690689,0.461507583690731,-0.0872682192243517,0.904321240478099,1,1,NA,NA,NA,1,1,"MacArthur",0.85,"Yes","Begin",NA,NA,NA,NA,NA,NA,NA,NA
"10",1,1,4,4,0.8,0.8,0.8,0.8,1,1,1.98,0.00733561946725539,0.158595142446114,1.73,0.628737340892132,0.664921647474518,0.387258663910578,0.480124730452764,-0.0807455955657547,0.911887144468898,1,1,2,NA,-1,1,744,"MacArthur",0.85,"Yes","End",NA,NA,NA,NA,NA,NA,NA,NA
"11",1,1,4,4,0.8,0.8,NA,NA,1,NA,1.22,0.568062446778985,NA,NA,0.0260953197220194,2.14424359586034,0.816573648683077,NA,-0.0384277589756602,0.631410695451839,1,1,NA,NA,NA,1,1,"MacArthur",0.85,"No","Begin",NA,NA,NA,NA,NA,NA,NA,NA
"12",1,1,4,4,0.8,0.8,NA,NA,1,NA,0.88,0.889734187832213,NA,NA,0.723791002834521,0.688976774699388,0.9305616320796,NA,-0.0883573658297155,0.903040624160197,1,1,1,1,1,1,9999,"MacArthur",0.85,"No","End",NA,NA,NA,NA,NA,NA,NA,NA
"13",1,1,4,4,0.8,0.8,0.8,0.8,1,1,1.22,0.78,0.78,1.22,1.19714399855785,1.19714399855792,0.671241316659929,0.671241316660003,-0.149746636098865,0.8235857867447,1,1,NA,NA,NA,1,1,"LawlorSmith",1,"Yes","Begin",0.6,0.4,0.4,0.6,NA,NA,NA,NA
"14",1,1,4,4,0.8,0.8,0.8,0.8,1,1,1.99,0.00999999999999934,0.159999999999999,1.84,1.04356037820581,1.07164020567569,0.583543756571184,0.661071640663746,-0.132019300338207,0.847460436643631,1,1,1,NA,-1,1,794,"LawlorSmith",1,"Yes","End",0.6,0.4,0.4,0.6,NA,NA,NA,NA
"15",1,1,4,4,0.8,0.8,NA,NA,1,NA,1.22,0.78,NA,NA,0.617133601012623,2.55790986516587,1.15548978442956,NA,-0.158146359790305,0.677187005937851,1,1,NA,NA,NA,1,1,"LawlorSmith",1,"No","Begin",0.6,0.4,0.4,0.6,NA,NA,NA,NA
